Average Income - Female (copy)	Average Income - Female	Average Income - Male	Difference	1	% of Total	Difference in Income	Female to Male Income	Number of Records	Occupation
46693	46693	48591	1898	1	96%	1898	0.960939269	1	Clerk – other; Coding clerk; Exam supervisor
50442	50442	47746	-2696	1	106%	-2696	1.056465463	1	Clerk – typist; Medical typist; Typist; Word processing operator Inquiry clerks and receptionists
55536	55536	73087	17551	1	76%	17551	0.759861535	1	Clerk of court; Court registrar – Children’s Court; Court registrar – County Court; Court registrar – Court of Petty Sessions; Court registrar – District Court; Court registrar – High Court; Court reg
47519	47519	59947	12428	1	79%	12428	0.792683537	1	Client service manager; Customer service manager
50075	50075	59996	9921	1	83%	9921	0.834638976	1	Clinical coder
147970	147970	271738	123768	1	54%	123768	0.544531865	1	Clinical haematologist
65548	65548	82399	16851	1	80%	16851	0.795495091	1	Clinical psychologist
40576	40576	50734	10158	1	80%	10158	0.799779241	1	Clock and watch maker and repairer
29598	29598	34162	4564	1	87%	4564	0.866401265	1	Cloth cutter; Clothing factory hand or labourer; Fabric factory hand or labourer; Textile factory hand or labourer
60543	60543	74687	14144	1	81%	14144	0.810623000	1	Clothing designer; Fashion designer
48465	48465	54780	6315	1	88%	6315	0.884720701	1	Clothing pattern maker; Patternmaker-grader – textiles
56472	56472	72999	16527	1	77%	16527	0.773599638	1	Club licensee; Club manager – licensed club
43243	43243	48694	5451	1	89%	5451	0.888056023	1	Coach driver; Passenger coach driver
91926	91926	118162	26236	1	78%	26236	0.777965844	1	Coal miner; Miner; Mining technician; Opal miner; Prospector
47046	47046	57911	10865	1	81%	10865	0.812384521	1	Commercial artist; Graphic designer
49168	49168	66471	17303	1	74%	17303	0.739690993	1	Commercial traveller; Commission agent – wholesale or retail; Company rep. – non-technical goods and services; Key account manager; Retail assistant – wholesale; Sales consultant – wholesale; Sales re
90810	90810	119385	28575	1	76%	28575	0.760648323	1	Commissioned policy officer; Police inspector
78308	78308	97844	19536	1	80%	19536	0.800335228	1	Commissioner fire officer; Fire investigator
78191	78191	136457	58266	1	57%	58266	0.573008347	1	Commodities broker
54691	54691	74338	19647	1	74%	19647	0.735707175	1	Communications equipment tradesperson; Telecommunications cable jointer or repairer
55282	55282	74450	19168	1	74%	19168	0.742538617	1	Communications officer – installation or maintenance; Telecommunications technician; Telephone technician Food trades workers
68094	68094	83056	14962	1	82%	14962	0.819856482	1	Communications officer – public relations; Media officer; Public relations officer
62754	62754	78575	15821	1	80%	15821	0.798650970	1	Communications operator
37126	37126	37754	628	1	98%	628	0.983366001	1	Community arts worker
36799	36799	39972	3173	1	92%	3173	0.920619434	1	Community support worker
52214	52214	69902	17688	1	75%	17688	0.746960030	1	Company rep. – industrial; Sales representative – industrial products
